name,description,duration,imdb_rating,metascore,directors,writers,stars
20 Days in Mariupol,"As the Russian invasion begins, a team of Ukrainian journalists trapped in the besieged city of Mariupol struggle to continue their work documenting the war's atrocities.",1h 35m,8.5,83,['Mstyslav Chernov'],['Mstyslav Chernov'],"['Mstyslav Chernov', 'Evgeniy Maloletka', 'Liudmyla Amelkina']"
True Spirit,"The story of Australian teenager, Jessica Watson, the youngest person ever to sail solo nonstop around the world.",1h 49m,6.8,50,['Sarah Spillane'],"['Sarah Spillane', 'Rebecca Banner', 'Cathy Randall']","['Alyla Browne', 'Teagan Croft', 'Cliff Curtis']"
Rye Lane,Two youngsters reeling from bad breakups connect over an eventful day in South London.,1h 22m,7.2,82,['Raine Allen-Miller'],"['Nathan Bryon', 'Tom Melia']","['David Jonsson', 'Vivian Oparah', 'Poppy Allen-Quarmby']"
The Wandering Earth II,"Humans built huge engines on the surface of the earth to find a new home. But the road to the universe is perilous. In order to save earth, young people once again have to step forward to start a race against time for life and death.",2h 53m,6.7,56,['Frant Gwo'],"['Cixin Liu', 'Hongwei Wang', 'Yang Zhixue']","['Jing Wu', 'Yi Sha', 'Yanmanzi Zhu']"
Fancy Dance,"Following her sister's disappearance, a Native American hustler kidnaps her niece from the child's white grandparents and sets out for the state powwow in hopes of keeping what is left of their family intact.",1h 30m,6.6,77,['Erica Tremblay'],"['Erica Tremblay', 'Miciana Alise']","['Michael Rowe', 'Blayne Allen', 'Isabel Deroy-Olson']"
Divinity,"Centers on two mysterious brothers, who abduct a mogul during his quest for immortality. Meanwhile, a seductive woman helps them launch a journey of self-discovery.",N/A,5.3,61,['Eddie Alcazar'],['Eddie Alcazar'],"['Bella Thorne', 'Caylee Cowan', 'Stephen Dorff']"
There's Something Wrong with the Children,"A family takes a weekend trip with longtime friends and their two young children, but, they suspect something supernatural when the kids behave strangely after disappearing into the woods overnight.",1h 32m,5.0,53,['Roxanne Benjamin'],"['T.J. Cimfel', 'David White']","['Alisha Wainwright', 'Amanda Crew', 'Carlos Santos']"
Radical,"A teacher in a Mexican border town full of neglect, corruption, and violence, tries a radical new method to unlock their students' curiosity, potential - and maybe even their genius.",2h 5m,7.8,70,['Christopher Zalla'],"['Christopher Zalla', 'Joshua Davis', 'Laura Guadalupe A']","['Eugenio Derbez', 'Daniel Haddad', 'Jennifer Trejo']"
Johnny & Clyde,Johnny and Clyde are two serial killers who are madly in love and on an endless crime spree. They have their sights set on robbing a prosperous casino - owned by crime boss Alana and guarded by a demonic slayer that she commands.,N/A,2.4,N/A,['Tom DeNucci'],"['Tom DeNucci', 'Nick Principe']","['Megan Fox', 'Avan Jogia', 'Ajani Russell']"
Disquiet,"After a near-fatal car accident, Sam (Meyers) wakes to discover he is trapped in an abandoned hospital by mysterious and sinister forces that have no intention of letting him leave.",1h 25m,3.8,N/A,['Michael Winnick'],['Michael Winnick'],"['Jonathan Rhys Meyers', 'Rachelle Goulding', 'Elyse Levesque']"
Scrapper,"Georgie, a dreamy 12-year-old girl, lives happily alone in her London flat, filling it with magic. Suddenly, her estranged father turns up and forces her to confront reality.",1h 24m,6.9,74,['Charlotte Regan'],['Charlotte Regan'],"['Lola Campbell', 'Alin Uzun', 'Cary Crankson']"
Animalia,"As she nears the end of her pregnancy, Itto and her in-laws find their lives turned upside down by a supernatural event.",N/A,5.9,N/A,['Sofia Alaoui'],"['Sofia Alaoui', 'Laurie Bost', 'Raphaëlle Desplechin']","['Oumaima Barid', 'Mehdi Dehbi', 'Fouad Oughaou']"
Polite Society,"Ria Khan believes she must save her older sister Lena from her impending marriage. After enlisting her friends' help, she attempts to pull off the most ambitious of all wedding heists in the name of independence and sisterhood.",1h 44m,6.6,75,['Nida Manzoor'],['Nida Manzoor'],"['Priya Kansara', 'Ritu Arya', 'Renu Brindle']"
The Outlaws,"A group of outlaws discover their empty train heist bag and begin interrogating each other in the wild west, trying to convince each other, clear their names, and avoid being shot to find the real thief.",1h 18m,5.7,N/A,"['Joey Palmroos', 'Austen Paul']","['Anders Holmes', 'Joey Palmroos', 'Austen Paul']","['Eric Roberts', 'Jonathan Peacy', 'Dallas Hart']"
The Starling Girl,17-year-old Jem Starling struggles with her place within her Christian fundamentalist community. But everything changes when her magnetic youth pastor Owen returns to their church.,1h 57m,6.7,78,['Laurel Parmet'],['Laurel Parmet'],"['Eliza Scanlen', 'Lewis Pullman', 'Jimmi Simpson']"
Assassin Club,An assassin is given a contract to kill seven people around the world only to discover the targets are also assassins who have been hired to kill him.,1h 51m,4.7,27,['Camille Delamarre'],['Thomas Dunn'],"['Henry Golding', 'Noomi Rapace', 'Daniela Melchior']"
A Thousand and One,"After unapologetic and fiercely loyal Inez kidnaps her son Terry from the foster care system, mother and son set out to reclaim their sense of home, identity, and stability, in a rapidly changing New York City.",1h 57m,7.0,81,['A.V. Rockwell'],['A.V. Rockwell'],"['Teyana Taylor', 'Aaron Kingsley Adetola', 'Aven Courtney']"
Magazine Dreams,An amateur bodybuilder struggles to find human connection in this exploration of celebrity and violence.,N/A,6.6,72,['Elijah Bynum'],['Elijah Bynum'],"['Jonathan Majors', 'Harrison Page', 'Harriet Sansom Harris']"
Left Behind: Rise of the Antichrist,"After the world falls into chaos, the only light is a charming new leader who rises to the head of the UN, but does he bring hope for a better future? Or is it the end of the world?",1h 55m,4.5,N/A,['Kevin Sorbo'],"['Paul Lalonde', 'Jessica Parker', 'John Patus']","['Mark Bellamy', 'Stuart Bentley', 'Corbin Bernsen']"
Snow Falls,"After a winter storm strands five friends in a remote cabin with no power and little food, disorientation slowly claims their sanity as each of them succumbs to a fear that the snow itself may be contaminated or somehow evil.",1h 19m,3.0,N/A,['Colton Tran'],"['Luke Genton', 'Colton Tran', 'Laura M. Young']","['Victoria Moroles', 'Anna Grace Barlow', 'Johnny Berchtold']"
Little Dixie,"Doc, a former special forces operative, facilitates a fragile truce in secrecy between the state governor and a Mexican drug cartel. But when it breaks down, the cartel's hatchet man sets his vengeful sights on Doc's daughter.",1h 45m,4.9,N/A,['John Swab'],['John Swab'],"['Frank Grillo', 'Eric Dane', 'Beau Knapp']"
Varisu,"Vijay Rajendran is a happy to-go lucky man. Things change when his father becomes terminally ill, and he is left to manage his business empire.",2h 49m,6.0,N/A,['Vamshi Paidipally'],"['Vamshi Paidipally', 'Hari', 'Ahishor Solomon']","['Joseph Vijay', 'Rashmika Mandanna', 'Shaam']"
Drift,"When Jacqueline escapes her war-torn country to a Greek island, she meets an unmoored tour guide and the two become close as each finds hope in the other.",N/A,6.3,61,['Anthony Chen'],"['Susanne Farrell', 'Alexander Maksik']","['Adonis Sklavenas', 'Adriana Teplytska', 'Aggelos Georgiadis']"
House Party,"From New Line Cinema comes your VIP ticket into the hottest event of the year:""House Party,"" the remix to the fan-favorite '90s classic.",1h 40m,4.4,41,['Calmatic'],"['Jamal Olori', 'Stephen Glover']","['Jacob Latimore', 'Tosin Cole', 'Karen Obilom']"
Still: A Michael J. Fox Movie,"Follows the life of beloved actor and advocate Michael J. Fox, exploring his personal and professional triumphs and travails, and what happens when an incurable optimist confronts an incurable disease.",1h 35m,8.1,78,['Davis Guggenheim'],['Michael J. Fox'],"['Michael J. Fox', 'Davis Guggenheim', 'Tracy Pollan']"
Detective Knight: Independence,Detective James Knight's last-minute assignment to the Independence Day shift turns into a race against time to stop an unbalanced EMT worker who's posing as a cop.,1h 31m,3.4,N/A,['Edward Drake'],"['Edward Drake', 'Corey Large']","['Bruce Willis', 'Jack Kilmer', 'Willow Shields']"
The Deepest Breath,"A champion and expert safety diver seemed destined for one another. Despite different paths taken, they meet at the pinnacle of the free-diving world, experiencing the thrilling rewards and inescapable risks of chasing dreams through the depths of the ocean.",1h 48m,7.7,69,['Laura McGann'],['Laura McGann'],"['Alessia Zecchini', 'Stephen Keenan', 'Leigh Baker']"
Cassandro,"Follows the true story of Cassandro, the ''exotico'' character created by Saúl Armendáriz, gay amateur wrestler from El Paso who rose to international stardom.",1h 47m,6.5,76,['Roger Ross Williams'],"['David Teague', 'Roger Ross Williams']","['Gael García Bernal', 'Roberta Colindrez', 'Perla De La Rosa']"
Landscape with Invisible Hand,"When an occupying alien species' bureaucratic rule and advanced technology leaves most of Earth impoverished and unemployed, two teenagers hatch a risky plan to ensure their families' futures.",1h 45m,6.0,53,['Cory Finley'],"['Cory Finley', 'M.T. Anderson']","['Asante Blackk', 'Tiffany Haddish', 'Kylie Rogers']"
Shortcomings,"Follows a trio of young, Bay Area urbanites--Ben Tanaka, Miko Hayashi and Alice Kim--as they navigate a range of interpersonal relationships while traversing the country in search of the ideal connection.",1h 32m,6.4,67,['Randall Park'],['Adrian Tomine'],"['Justin H. Min', 'Sherry Cola', 'Ally Maki']"
Night Train,A single mom struggling to make ends meet as a Hollywood teamster evades capture by a ruthless FBI Agent while running black market medical supplies in her legendary souped-up pickup truck.,1h 35m,3.7,N/A,['Shane Stanley'],['CJ Walley'],"['Danielle C. Ryan', 'Diora Baird', 'Ivan Sergei']"
The Persian Version,"When a large Iranian-American family gathers, a family secret is uncovered that catapults the estranged mother and daughter into an exploration of the past, and to discover they are more alike than they know.",1h 47m,6.2,61,['Maryam Keshavarz'],['Maryam Keshavarz'],"['Layla Mohammadi', 'Niousha Noor', 'Kamand Shafieisabet']"
